Tamanho,Bubble Sort,Insertion Sort
1000,0.0401461124420166,0.018383264541625977
1500,0.08506965637207031,0.0388791561126709
2000,0.15612483024597168,0.0730435848236084
2500,0.2505159378051758,0.11562204360961914
3000,0.3525259494781494,0.15625500679016113
3500,0.47722721099853516,0.22330403327941895
4000,0.6213405132293701,0.28272390365600586
4500,0.7960574626922607,0.3632972240447998
5000,0.970226526260376,0.45064210891723633
