Tamanho,Bubble Sort,Insertion Sort
1000,0.03666353225708008,0.016880035400390625
1500,0.08307766914367676,0.03716301918029785
2000,0.15220856666564941,0.0681917667388916
2500,0.23890423774719238,0.1084890365600586
3000,0.3512723445892334,0.1545259952545166
3500,0.4812767505645752,0.2111823558807373
4000,0.6495535373687744,0.2836134433746338
4500,0.7888936996459961,0.3554236888885498
5000,0.9761190414428711,0.4511597156524658
