UF,COD. UF,COD. MUNIC,NOME DO MUNICÍPIO,POPULAÇÃO
RO,11,00015,Alta Floresta D'Oeste,21558
RO,11,00023,Ariquemes,100896
AC,12,00013,Acrelândia,12707
AC,12,00054,Assis Brasil,8157
AM,13,00029,Alvarães,159162
AM,13,00060,Amaturá,10814
PE,26,16407,Vitória de Santo Antão,135182
PE,26,16506,Xexéu,11288
